"Plot","Rep","Entry","Name","Expt"
2153,1,168,"PI 297767 AGL","Spain 2017"
2154,1,256,"PI 431728 LSP AGL","Spain 2017"
2155,1,104,"ILL 7558 AGL","Spain 2017"
2156,1,179,"PI 298921 AGL","Spain 2017"
2157,1,291,"PI 468900 LSP AGL","Spain 2017"
2158,1,85,"ILL 4875 AGL","Spain 2017"
2159,1,86,"ILL 4956 AGL","Spain 2017"
2160,1,191,"PI 299289 AGL","Spain 2017"
2161,1,94,"ILL 5888 AGL","Spain 2017"
2162,1,296,"PI 472213 LSP AGL","Spain 2017"
2163,1,298,"PI 472380 LSP AGL","Spain 2017"
2164,1,93,"ILL 5883 AGL","Spain 2017"
2165,1,318,"PI 643452 AGL","Spain 2017"
2166,1,66,"PI 431893 LSP AGL","Spain 2017"
2167,1,164,"PI 290716 LSP AGL","Spain 2017"
2168,1,202,"PI 320935 LSP AGL","Spain 2017"
2169,1,50,"IG 4781 AGL","Spain 2017"
2170,1,272,"PI 432005 LSP AGL","Spain 2017"
2171,1,193,"PI 299345 AGL","Spain 2017"
2172,1,309,"PI 490288 LSP AGL","Spain 2017"
2173,1,21,"CDC Royale AGL","Spain 2017"
2174,1,273,"PI 432028 LSP AGL","Spain 2017"
2175,1,317,"PI 643451 AGL","Spain 2017"
2176,1,271,"PI 432002 LSP AGL","Spain 2017"
2177,1,59,"ILL 11558 AGL","Spain 2017"
2178,1,4,"CDC Greenstar AGL","Spain 2017"
2179,1,194,"PI 299351 LSP AGL","Spain 2017"
2180,1,205,"CN 105866 AGL","Spain 2017"
2181,1,200,"PI 311107 LSP AGL","Spain 2017"
2182,1,99,"ILL 6211 AGL","Spain 2017"
2183,1,132,"PI 175754 LSP AGL","Spain 2017"
2184,1,89,"ILL 5209 AGL","Spain 2017"
2185,1,180,"PI 298922 LSP AGL","Spain 2017"
2186,1,95,"ILL 5945 AGL","Spain 2017"
2187,1,158,"PI 273664 LSP AGL","Spain 2017"
2188,1,8,"CDC Imax AGL","Spain 2017"
2189,1,315,"PI 533693 LSP AGL","Spain 2017"
2190,1,295,"PI 472205 LSP AGL","Spain 2017"
2191,1,156,"PI 250158 LSP AGL","Spain 2017"
2192,1,192,"PI 299312 AGL","Spain 2017"
2193,1,57,"ILL 11555 AGL","Spain 2017"
2194,1,128,"Laird AGL","Spain 2017"
2195,1,3,"3156-11 AGL","Spain 2017"
2196,1,78,"ILL 4609 AGL","Spain 2017"
2197,1,101,"ILL 6821 AGL","Spain 2017"
2198,1,175,"PI 298357 LSP AGL","Spain 2017"
2199,1,130,"PI 163589 AGL","Spain 2017"
2200,1,250,"PI 431679 LSP AGL","Spain 2017"
2201,1,96,"ILL 6002 AGL","Spain 2017"
2202,1,54,"ILL 11547 AGL","Spain 2017"
2203,1,185,"PI 299126 LSP AGL","Spain 2017"
2204,1,243,"PI 431622 LSP AGL","Spain 2017"
2205,1,258,"PI 431739 LSP AGL","Spain 2017"
2206,1,253,"PI 431710 LSP AGL","Spain 2017"
2207,1,10,"CDC KR-1 AGL","Spain 2017"
2208,1,91,"ILL 5639 AGL","Spain 2017"
2209,1,323,"W6 27766 LSP AGL","Spain 2017"
2210,1,1,"CDC Asterix AGL","Spain 2017"
2211,1,90,"ILL 5480 AGL","Spain 2017"
2212,1,222,"PI 358602 LSP AGL","Spain 2017"
2213,1,236,"PI 420929 LSP AGL","Spain 2017"
2214,1,288,"PI 432286 LSP AGL","Spain 2017"
2215,1,178,"PI 298645 AGL","Spain 2017"
2216,1,65,"ILL 2194 AGL","Spain 2017"
2217,1,196,"PI 299375 LSP AGL","Spain 2017"
2218,1,212,"PI 329157 LSP AGL","Spain 2017"
2219,1,40,"CN 108369 AGL","Spain 2017"
2220,1,322,"W6 27763 LSP AGL","Spain 2017"
2221,1,80,"ILL 4671 AGL","Spain 2017"
2222,1,7,"CDC Gold AGL","Spain 2017"
2223,1,149,"PI 211052 LSP AGL","Spain 2017"
2224,1,278,"PI 432145 LSP AGL","Spain 2017"
2225,1,321,"W6 27760 LSP AGL","Spain 2017"
2226,1,60,"ILL 1220 AGL","Spain 2017"
2227,1,308,"PI 477921 LSP AGL","Spain 2017"
2228,1,22,"CDC Ruby AGL","Spain 2017"
2229,1,160,"PI 283604 LSP AGL","Spain 2017"
2230,1,26,"CN 105604 AGL","Spain 2017"
2231,1,268,"PI 431980 LSP AGL","Spain 2017"
2232,1,36,"CN 105864 AGL","Spain 2017"
2233,1,148,"PI 209858 LSP AGL","Spain 2017"
2234,1,75,"ILL 4164 AGL","Spain 2017"
2235,1,58,"ILL 11557 AGL","Spain 2017"
2236,1,186,"PI 299163 LSP AGL","Spain 2017"
2237,1,163,"PI 289079 LSP AGL","Spain 2017"
2238,1,108,"ILL 7747 AGL","Spain 2017"
2239,1,45,"Gudo AGL","Spain 2017"
2240,1,162,"PI 289073 LSP AGL","Spain 2017"
2241,1,140,"PI 181886 LSP AGL","Spain 2017"
2242,1,5,"CDC Cherie AGL","Spain 2017"
2243,1,248,"PI 431662 LSP AGL","Spain 2017"
2244,1,206,"PI 320941 LSP AGL","Spain 2017"
2245,1,189,"PI 299177 LSP AGL","Spain 2017"
2246,1,293,"PI 468902 LSP AGL","Spain 2017"
2247,1,73,"ILL 358 AGL","Spain 2017"
2248,1,259,"PI 431753 LSP AGL","Spain 2017"
2249,1,64,"ILL 213 AGL","Spain 2017"
2250,1,151,"PI 212610 LSP AGL","Spain 2017"
2251,1,123,"ILL 9977 AGL","Spain 2017"
2252,1,289,"PI 451763 LSP AGL","Spain 2017"
2253,1,155,"PI 250156 LSP AGL","Spain 2017"
2254,1,9,"CDC Impower AGL","Spain 2017"
2255,1,154,"PI 244046 AGL","Spain 2017"
2256,1,17,"CDC Robin AGL","Spain 2017"
2257,1,265,"PI 431884 LSP AGL","Spain 2017"
2258,1,136,"PI 178971 LSP AGL","Spain 2017"
2259,1,145,"PI 193550 AGL","Spain 2017"
2260,1,169,"PI 297772 LSP AGL","Spain 2017"
2261,1,27,"CN 105605 AGL","Spain 2017"
2262,1,276,"PI 432106 LSP AGL","Spain 2017"
2263,1,280,"PI 432184 LSP AGL","Spain 2017"
2264,1,195,"PI 299366 LSP AGL","Spain 2017"
2265,1,261,"PI 431809 LSP AGL","Spain 2017"
2266,1,137,"PI 179324 LSP AGL","Spain 2017"
2267,1,217,"PI 339289 LSP AGL","Spain 2017"
2268,1,312,"PI 518733 LSP AGL","Spain 2017"
2269,1,25,"CDC Vantage AGL","Spain 2017"
2270,1,111,"ILL 7979 AGL","Spain 2017"
2271,1,48,"IG 1959 AGL","Spain 2017"
2272,1,77,"ILL 4605 AGL","Spain 2017"
2273,1,287,"PI 432271 LSP AGL","Spain 2017"
2274,1,42,"Crimson AGL","Spain 2017"
2275,1,68,"ILL 2580 AGL","Spain 2017"
2276,1,198,"PI 302398 LSP AGL","Spain 2017"
2277,1,55,"ILL 11548 AGL","Spain 2017"
2278,1,238,"PI 426778 LSP AGL","Spain 2017"
2279,1,113,"ILL 8009 AGL","Spain 2017"
2280,1,13,"CDC QG-1 AGL","Spain 2017"
2281,1,43,"DPL 62 AGL","Spain 2017"
2282,1,18,"CDC Rosebud AGL","Spain 2017"
2283,1,141,"PI 182217 LSP AGL","Spain 2017"
2284,1,300,"PI 472488 LSP AGL","Spain 2017"
2285,1,219,"PI 339296 AGL","Spain 2017"
2286,1,188,"PI 299165 AGL","Spain 2017"
2287,1,319,"Shasta AGL","Spain 2017"
2288,1,38,"CN 105895 AGL","Spain 2017"
2289,1,181,"PI 298923 LSP AGL","Spain 2017"
2290,1,23,"CDC SB-1 AGL","Spain 2017"
2291,1,173,"PI 298121 LSP AGL","Spain 2017"
2292,1,286,"PI 432245 LSP AGL","Spain 2017"
2293,1,134,"PI 178939 LSP AGL","Spain 2017"
2294,1,190,"PI 299237 LSP AGL","Spain 2017"
2295,1,92,"ILL 5722 AGL","Spain 2017"
2296,1,226,"PI 374116 LSP AGL","Spain 2017"
2297,1,74,"ILL 3597 AGL","Spain 2017"
2298,1,121,"ILL 9932 AGL","Spain 2017"
2299,1,306,"PI 472615 LSP AGL","Spain 2017"
2300,1,56,"ILL 11553 AGL","Spain 2017"
2301,1,252,"PI 431705 LSP AGL","Spain 2017"
2302,1,100,"ILL 624 AGL","Spain 2017"
2303,1,324,"W6 27767 LSP AGL","Spain 2017"
2304,1,208,"PI 320946 LSP AGL","Spain 2017"
2305,1,119,"ILL 975 AGL","Spain 2017"
2306,1,174,"PI 298122 LSP AGL","Spain 2017"
2307,1,135,"PI 178952 AGL","Spain 2017"
2308,1,82,"ILL 4782 AGL","Spain 2017"
2309,1,138,"PI 179330 AGL","Spain 2017"
2310,1,157,"PI 251248 LSP AGL","Spain 2017"
2311,1,244,"PI 431630 LSP AGL","Spain 2017"
2312,1,47,"IG 1706 AGL","Spain 2017"
2313,1,264,"PI 431873 LSP AGL","Spain 2017"
2314,1,229,"PI 374120 LSP AGL","Spain 2017"
2315,1,24,"CDC Sedley AGL","Spain 2017"
2316,1,299,"PI 472416 LSP AGL","Spain 2017"
2317,1,87,"ILL 5058 AGL","Spain 2017"
2318,1,310,"PI 490289 LSP AGL","Spain 2017"
2319,1,124,"ILL 9997 AGL","Spain 2017"
2320,1,20,"CDC Rouleau AGL","Spain 2017"
2321,1,227,"PI 374117 LSP AGL","Spain 2017"
2322,1,223,"PI 368647 LSP AGL","Spain 2017"
2323,1,103,"ILL 7089 AGL","Spain 2017"
2324,1,211,"PI 320954 LSP AGL","Spain 2017"
2325,2,253,"PI 431710 LSP AGL","Spain 2017"
2326,2,259,"PI 431753 LSP AGL","Spain 2017"
2327,2,50,"IG 4781 AGL","Spain 2017"
2328,2,223,"PI 368647 LSP AGL","Spain 2017"
2329,2,33,"CN 105791 AGL","Spain 2017"
2330,2,301,"PI 472559 LSP AGL","Spain 2017"
2331,2,120,"ILL 9888 AGL","Spain 2017"
2332,2,196,"PI 299375 LSP AGL","Spain 2017"
2333,2,249,"PI 431663 LSP AGL","Spain 2017"
2334,2,238,"PI 426778 LSP AGL","Spain 2017"
2335,2,230,"PI 374121 AGL","Spain 2017"
2336,2,245,"PI 431633 LSP AGL","Spain 2017"
2337,2,285,"PI 432236 LSP AGL","Spain 2017"
2338,2,74,"ILL 3597 AGL","Spain 2017"
2339,2,190,"PI 299237 LSP AGL","Spain 2017"
2340,2,135,"PI 178952 AGL","Spain 2017"
2341,2,126,"Indianhead AGL","Spain 2017"
2342,2,85,"ILL 4875 AGL","Spain 2017"
2343,2,220,"PI 343026 LSP AGL","Spain 2017"
2344,2,141,"PI 182217 LSP AGL","Spain 2017"
2345,2,129,"LIRL-22-46 AGL","Spain 2017"
2346,2,203,"PI 320936 LSP AGL","Spain 2017"
2347,2,293,"PI 468902 LSP AGL","Spain 2017"
2348,2,142,"PI 193546 AGL","Spain 2017"
2349,2,234,"PI 420924 LSP AGL","Spain 2017"
2350,2,227,"PI 374117 LSP AGL","Spain 2017"
2351,2,217,"PI 339289 LSP AGL","Spain 2017"
2352,2,183,"PI 299120 LSP AGL","Spain 2017"
2353,2,107,"ILL 7716 AGL","Spain 2017"
2354,2,90,"ILL 5480 AGL","Spain 2017"
2355,2,147,"PI 518731 LSP AGL","Spain 2017"
2356,2,267,"PI 431923 LSP AGL","Spain 2017"
2357,2,235,"PI 420925 LSP AGL","Spain 2017"
2358,2,117,"ILL 8595 AGL","Spain 2017"
2359,2,134,"PI 178939 LSP AGL","Spain 2017"
2360,2,265,"PI 431884 LSP AGL","Spain 2017"
2361,2,38,"CN 105895 AGL","Spain 2017"
2362,2,153,"PI 238758 LSP AGL","Spain 2017"
2363,2,70,"ILL 3025 AGL","Spain 2017"
2364,2,67,"ILL 2507 AGL","Spain 2017"
2365,2,61,"ILL 1553 AGL","Spain 2017"
2366,2,294,"PI 472136 LSP AGL","Spain 2017"
2367,2,4,"CDC Greenstar AGL","Spain 2017"
2368,2,113,"ILL 8009 AGL","Spain 2017"
2369,2,185,"PI 299126 LSP AGL","Spain 2017"
2370,2,318,"PI 643452 AGL","Spain 2017"
2371,2,45,"Gudo AGL","Spain 2017"
2372,2,274,"PI 432033 LSP AGL","Spain 2017"
2373,2,221,"PI 345627 LSP AGL","Spain 2017"
2374,2,312,"PI 518733 LSP AGL","Spain 2017"
2375,2,193,"PI 299345 AGL","Spain 2017"
2376,2,311,"PI 508090 AGL","Spain 2017"
2377,2,131,"PI 169534 LSP AGL","Spain 2017"
2378,2,16,"CDC Redwing AGL","Spain 2017"
2379,2,154,"PI 244046 AGL","Spain 2017"
2380,2,322,"W6 27763 LSP AGL","Spain 2017"
2381,2,296,"PI 472213 LSP AGL","Spain 2017"
2382,2,47,"IG 1706 AGL","Spain 2017"
