"Name","a.25_Ro17","a.50_Ro17","a.75_Ro17","a.max_Ro17","a.mean_Ro17","a.min_Ro17","a.std_Ro17","area.mm.2._Ro17","b.25_Ro17","b.50_Ro17","b.75_Ro17","b.max_Ro17","b.mean_Ro17","b.min_Ro17","b.std_Ro17","circularity.4.pi.area..perimeter.2.._Ro17","cluster.distance_Ro17","dark.cluster.a_Ro17","dark.cluster.b_Ro17","dark.cluster.l_Ro17","dark.cluster.proportion_Ro17","equivalent.diameter.mm._Ro17","height.mm._Ro17","l.25_Ro17","l.50_Ro17","l.75_Ro17","l.max_Ro17","l.mean_Ro17","l.min_Ro17","l.std_Ro17","light.cluster.a_Ro17","light.cluster.b_Ro17","light.cluster.l_Ro17","light.cluster.proportion_Ro17","major.axis.length.mm._Ro17","minor.axis.length.mm._Ro17","num.pixels.per.component_Ro17","perimeter.mm._Ro17","roundness.4.area..pi.major.axis.2._Ro17","sphericity.pi..1.3...6.volume...2.3....surface.area._Ro17","surface.area.mm.2._Ro17","volume.mm.3._Ro17"
"PI_432033_LSP_AGL",9.13775946755609,10.7145409159901,12.5572150361971,26.5221695811409,10.952447556453,0.988680544643949,2.63127561986573,14.6997058911321,18.7305364886957,20.8052501609986,23.1315884534293,41.0090149904798,21.0184309541814,3.53489402254067,3.603528314361,0.802399103306116,3.77880198567327,11.2329321013861,21.4466503743023,46.2871987376341,0.657153509076681,4.31571330628473,2.26267601561321,45.3247670760465,46.8744439382792,48.552201256121,68.0881863619362,47.1154963470945,32.6493417964544,3.17777749919874,11.4285515413356,20.9553164262635,49.1259670021513,0.342846490923319,4.49448231106451,4.15945153313587,166361.54245283,15.1417435038045,0.923777887278779,0.842464661419648,43.3067299166426,22.7300026386107
"PI_432085_LSP_AGL",9.04585711700076,10.4533130911813,12.0219404351477,28.2527644560548,10.6430069575729,0.825021444057124,2.39746704691193,21.6276517433184,26.680875718259,28.8913729061712,30.9987017540937,45.9941359178878,28.6570140910732,4.89130812936278,3.75627825826243,0.811189485684858,4.61525502938681,11.8004893271401,26.5169775010309,51.368221756246,0.260279687451352,5.24016047595918,2.78886420174888,52.562813424129,54.7047874766296,56.1743960636931,66.8409028591248,54.0868754495105,29.9848480733814,3.17027059789794,10.1951051388193,29.3761853231963,55.2646245651295,0.739720312548648,5.43156763863635,5.06418684140998,244767.448430493,18.2921712441739,0.931328325448258,0.91235236808591,61.5526001033218,40.3608982265998
"PI_432106_LSP_AGL",5.40579368071949,7.13295278486068,9.55145673305958,27.8745633849879,7.66600774852924,-2.36896645233121,3.14909751500318,34.6398689777778,27.8053919984584,30.105737242475,32.4929526280834,49.8919550335712,30.0456010832275,4.83308312831732,4.08454471566905,0.798629898295088,5.33407546129057,10.5622665808543,29.624400605922,50.2506511750171,0.312039647989908,6.62958186675449,2.78668074967949,51.1697349854386,53.0885542733228,54.6810145386472,67.2533256867275,52.6177948244206,33.1163871840961,3.23404595658345,6.27713315189361,30.1554729937407,53.7518593945222,0.687960352010092,6.84352208925705,6.42556118818066,392031.111111111,23.3173627012238,0.938653390929551,0.850409238925473,90.1284242680417,64.9739434764355
"PI_432124_LSP_AGL",12.6132032467156,14.3450054960929,16.1498564319343,29.4660833975889,14.4199494848714,3.10618933020303,2.7609063294505,13.8064942172222,25.315600878978,27.7617896094685,29.9702089151991,45.3205331277055,27.4376120415075,5.21633728763612,4.04813659730483,0.8099541516343,4.12646631501087,14.1388772107817,24.8673367830403,54.1824048621398,0.265221126736243,4.1885520318737,2.60603853901042,54.9119333379574,56.971420136095,58.5790225540499,67.9447931192747,56.5064691151951,36.1755734779361,3.13357237747386,14.5738948414831,28.3106386774395,57.4987066030877,0.734778873263757,4.49166368038743,3.92280553625001,156252.763888889,14.6266780510809,0.873788103585125,0.943093550810322,42.3207321235618,24.1235803697224
"PI_432145_LSP_AGL",7.67289918463104,9.18275368561696,10.9567906137831,26.3376388354222,9.46619811470916,0.188607245279863,2.63087728729122,15.3314857013433,25.6995565445578,28.250609200215,30.5193923529632,46.0243307842813,27.8386525860868,4.26426648824802,4.27325444135482,0.773923572181371,4.80015313783745,10.8758082439762,25.0319372721702,53.6956718004487,0.275664296348935,4.4121543250228,2.69218933606343,54.369021048604,56.3560038338904,57.8961948443877,70.5120022830609,55.9176345249178,35.5427046923283,3.13209292621115,9.0464878752821,28.7378173339039,56.9277422563533,0.724335703651065,4.6433284190702,4.20821005948857,173511.608208955,15.7729467528821,0.90521835523667,0.92462614645159,46.7163992822399,27.875781781366
"PI_432147_LSP_AGL",7.42134975288844,8.84538892713279,10.5535548290681,26.1117610435048,9.1488274841802,0.249334501867096,2.54074833212458,16.1314064864474,25.0098598875304,27.3348629303941,29.5532293847474,45.0122628731313,27.0927877020558,4.31595700396154,3.96548419889434,0.784106060372507,4.29822954527165,10.584538953274,25.3189087397738,53.4894828290542,0.367599756154274,4.52693135454294,2.63301909883224,53.3785508975118,55.1246121658015,56.7301291922493,69.3026818019865,54.9482168651858,36.4804995974502,2.9589081148851,9.11220859194707,27.0773221009346,55.8454842074023,0.632400243845726,4.73607185618955,4.3470604897085,182564.582236842,16.0719602454288,0.915714858100441,0.921229921982827,47.9835561430626,28.5276620668257
"PI_432184_LSP_AGL",9.34190554335092,11.0872006379988,13.1596663352168,30.4344199357932,11.3983380250187,1.4546941733185,2.91206528052145,18.5573206275812,25.9415014364185,28.2804600063761,30.7403926408933,48.6254197184375,28.2375503992703,4.73882667715693,4.18620977947339,0.805426540979286,4.60206099651054,13.3021219852569,28.1609836335697,49.7298865506501,0.328983492952195,4.85153880258544,2.52037502371841,50.2823608763627,52.5513541072704,54.2095385837571,67.2254468289916,52.0086347062102,31.7748615453813,3.45623262153708,10.4908138179825,28.0885625121204,53.2121345322805,0.671016507047805,5.04676416043742,4.67705390850816,210019.472924188,16.9923428429289,0.925605884220799,0.875440874969582,52.9961599100197,31.4954593211282
"PI_432188_LSP_AGL",8.10864163482212,9.72927804405775,11.6660440494831,28.0474824792866,10.0349487428843,0.440799626986819,2.75471712042227,19.3469022443509,27.8318983663736,30.1512695253274,32.3621516835883,47.8936641686962,29.8517542717192,5.25808794130761,4.12767096963983,0.803244444233655,4.78285611892011,11.8247622348923,27.7329723033625,51.0102398563373,0.285921859577074,4.95164260222511,2.68683837431579,51.6635222192084,53.6518350615378,55.199269281276,66.8156658251645,53.2415124145074,32.8217653772102,3.05436477858017,9.42187229626038,30.1748559788017,54.2828671825325,0.714078140422926,5.17134458094645,4.74626211048864,218955.435087719,17.3673581918958,0.917478104271024,0.90080172757749,55.7725451466151,35.2099294690785
"PI_432190_LSP_AGL",9.71190857541906,11.5462905742995,13.7965535491918,29.2373524763114,11.8917126918391,1.10201489803001,3.03577367133237,26.0582358387713,26.8649604255116,29.1273220463702,31.3784607510108,48.13049076949,28.9763782307222,4.76650561642903,3.98304736996385,0.814690940581566,5.09691491085593,13.859695499159,28.2196606983123,48.0312335091441,0.351416096695935,5.74753076046492,2.3713647421843,48.6858736263026,51.1562208767446,52.8243254237039,65.7575702477788,50.5172816896278,30.1750350347265,3.43183191848958,10.7360868854657,29.1618284895378,52.0201286536667,0.648583903304065,5.90848236939648,5.59650581195277,294909.866894198,20.0106086830299,0.946810470110157,0.835213756294825,67.691669956606,41.8156745810035
"PI_432201_LSP_AGL",7.13119772712216,8.44140516689793,9.8230313244393,22.0887753991439,8.53073662346048,-1.26494811885016,2.14122380411457,13.4033260920896,24.2856974113845,26.3049130096174,28.2068270194154,41.4701376993281,26.0579332402624,4.83515853829595,3.51810557472368,0.745170000563973,3.97903529552259,8.68279828264451,25.2159067812902,53.7277874301827,0.621160671596286,4.12352160121323,1.99884260468284,53.2681955504121,54.6390092620959,56.008082566558,69.3955367504243,54.6462937133682,35.9713552205097,2.65418996955243,8.64290329070996,23.8445924557203,56.3431423164174,0.378839328403715,4.24407018219326,4.00967334138093,151689.973880597,15.0582330088359,0.944072654318045,0.806268040428312,37.9293999438786,18.103660000759
