"Name","Seed.Size_LDP","Cotyledon.Color_LDP","Seed.Area_LDP","Seed.Perimeter_LDP","Seed.Diameter_LDP","Minor.Axis_LDP","Major.Axis_LDP","Seed.Mass.1000.2015_LDP","Seed.Mass.1000.2016_LDP","Seed.Mass.1000.2017_LDP","Seed.Mass.1000.2018_LDP","Plumpness.2015_LDP","Plumpness.2016_LDP","Plumpness.2017_LDP","Plumpness.2018_LDP","Testa.Color.Green_LDP","Testa.Color.Grey_LDP","Testa.Color.Tan_LDP","Testa.Color.Brown_LDP","Testa.Color.Green.v.Grey_LDP","Testa.Color.Green.v.Tan_LDP","Testa.Color.Green.v.Brown_LDP","Testa.Color.Grey.v.Tan_LDP","Testa.Color.black_LDP","Testa.Pattern.All_LDP","Testa.Pattern.Present_LDP","Testa.Pattern.Mottle_LDP","Testa.Pattern.Mottle.v.Present_LDP","Testa.Pattern.Dotted_LDP","Testa.Pattern.Marbled_LDP","Testa.Pattern.Spotted_LDP","Testa.Pattern.Mottle123_LDP"
"PI_431809_LSP_AGL","3","1",0.198,1.58,0.502,0.487,0.532,36.9,38.2,38,38.5902503293808,73.4248180068614,75.94728622702,75.7086863783627,76.8050095012002,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431824_LSP_AGL","2","1",0.165,1.44,0.458,0.435,0.496,29.8,30.4,32.6,36.6551187782805,65.2092454381915,66.5138597318024,71.3155772280567,80.0913010450412,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_431863_LSP_AGL","2","1",0.181,1.51,0.48,0.456,0.514,35.9,34.7,38.3,35.8435941512277,74.7549019607843,72.2323600973236,79.7609768771109,74.6741544817244,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_431873_LSP_AGL","2","0",0.181,1.51,0.48,0.444,0.532,26.7,33.6,27.8,35.1317863828949,55.6611360136745,70.0114507617245,58.0588952226185,73.2590540885203,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"1"
"PI_431884_LSP_AGL","2","1",0.172,1.47,0.468,0.445,0.509,31.6,32.3,34.5,43.2482102322333,67.5003216215443,69.0670499860892,73.7396416008731,92.4985485004988,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_431888_LSP_AGL","1","1",0.102,1.13,0.36,0.346,0.39,26.6,26.6,24.4,28.3024691358025,73.7811865740677,73.8788285833767,67.6769251965584,78.5452427450578,"0","1","0","1","1",NA,NA,"0","0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431923_LSP_AGL","1","0",0.097,1.1,0.351,0.333,0.394,23.5,26.9,26.8,27.2132421104858,67.0256739620902,76.6283524904214,76.3176051479182,77.5306043033785,"1","0","0","0","0","0","0",NA,"0","1",NA,"1","0",NA,NA,NA,"2"
"PI_431980_LSP_AGL","3","1",0.243,1.75,0.556,0.527,0.6,41.3,47.7,44.5,54.3432835820895,74.3229142122377,85.6550828839625,79.9724914869663,97.6811568282018,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
"PI_432000_LSP_AGL","1","0",0.099,1.11,0.354,0.325,0.418,27.5,27.5,25,27.6892430278884,77.6713920093841,77.6312620748343,70.4920159119066,78.1936577505479,"0","0","1","1",NA,"1",NA,"1","0","1",NA,"1","0",NA,NA,NA,"2"
"PI_432001_LSP_AGL","2","1",0.186,1.53,0.487,0.467,0.523,39.9,32.6,41.8,42.431654676259,81.9551442168643,66.8890956337621,85.8640892109136,87.1883315265595,"1","0","0","0","0","0","0",NA,"0","0","0","0",NA,"0","0","0","0"
