"Name","a.25_Sp17","a.50_Sp17","a.75_Sp17","a.max_Sp17","a.mean_Sp17","a.min_Sp17","a.std_Sp17","area.mm.2._Sp17","b.25_Sp17","b.50_Sp17","b.75_Sp17","b.max_Sp17","b.mean_Sp17","b.min_Sp17","b.std_Sp17","circularity.4.pi.area..perimeter.2.._Sp17","cluster.distance_Sp17","dark.cluster.a_Sp17","dark.cluster.b_Sp17","dark.cluster.l_Sp17","dark.cluster.proportion_Sp17","equivalent.diameter.mm._Sp17","height.mm._Sp17","l.25_Sp17","l.50_Sp17","l.75_Sp17","l.max_Sp17","l.mean_Sp17","l.min_Sp17","l.std_Sp17","light.cluster.a_Sp17","light.cluster.b_Sp17","light.cluster.l_Sp17","light.cluster.proportion_Sp17","major.axis.length.mm._Sp17","minor.axis.length.mm._Sp17","num.pixels.per.component_Sp17","perimeter.mm._Sp17","roundness.4.area..pi.major.axis.2._Sp17","sphericity.pi..1.3...6.volume...2.3....surface.area._Sp17","surface.area.mm.2._Sp17","volume.mm.3._Sp17"
"ILL_4609_AGL",7.56786563407352,9.24327781246977,10.9142986464512,21.5641397578981,9.23877318130079,-4.44379702606843,2.62223318465504,10.6220573322656,13.0333333096545,15.5197539904542,17.9333407407581,33.9970746319202,15.4675592579102,-3.1156841452187,3.8375521092523,0.70401005609435,3.45961303401629,8.9759452703935,14.8873075574,41.561006487445,0.66839553603658,3.67062547657652,2.37421519027344,39.9070972904226,42.4899355284909,44.7175979379922,67.7031701970601,42.3208565347517,20.445247411877,4.32967718625512,9.23730087546637,15.8364806417457,44.5030674189494,0.33160446396342,3.79473172595926,3.55366649777664,118848.03515625,13.7758537574217,0.93575624436964,0.711864974649712,35.0898648235341,16.7701249809438
"ILL_4665_AGL",7.32869647595846,9.13414512306147,11.3578352556151,25.0488988905568,9.4684345766913,-0.650964517548175,2.95434727571251,24.9315103333333,28.1565483332167,30.6588330921647,32.9716764643327,47.1252712511855,30.3195880306304,4.91206768013713,4.18491120035777,0.764726870007438,5.44867569100908,11.4735658700425,27.9242279585852,55.2930742665033,0.324490510889851,5.61834250393721,2.20618289613636,56.1210143791819,58.3958383713652,59.9213474325188,69.436350218065,57.7739461393686,35.2450286255857,3.17601832070358,8.62716653069751,30.7272338126827,59.1219619876068,0.675509489110149,5.75130569248808,5.49529132653493,282158.333333333,20.2600439250786,0.954201100504323,0.803412412788138,63.9296333193783,37.3841308215961
"ILL_4671_AGL",8.46049111487776,10.2538372791101,12.7355239011185,28.3296169006897,10.7292040132702,0.921425246051985,3.06620054154014,29.4690622512752,26.1677159107603,28.2868158833325,30.5884696844151,46.1682880183529,28.2876001529329,4.74157227305951,3.8080233983884,0.80169918130958,6.10918308883848,12.9927129783849,28.4469201801694,51.5388529832715,0.389732451272117,6.11128739177601,2.08376055795302,52.1430682898525,55.5398623027989,57.4102120799051,67.3399855621321,54.5644959962616,35.6456227678762,3.86339649483026,9.11060230454632,27.9761056523746,56.8199960045601,0.610267548727883,6.24489542992386,5.98525652041238,329950.657718121,21.4628490427576,0.958333064792838,0.764877121235321,72.3227409791082,41.1224173073996
"ILL_4768_AGL",9.79444335740166,11.7646109265326,13.8430807228006,27.4142754205596,11.8621252269384,-4.29002127464822,3.15468309886756,14.9798298105842,16.1533049116337,19.0044759654651,22.0353854586128,41.313104568502,19.1489447814457,-3.31467356172922,4.59999193843279,0.758065208810499,3.87584466995473,11.8499262924777,18.1619715698762,35.3138600344731,0.370793471854848,4.35607766912239,2.51655738383162,34.8941081526568,37.8298341829294,40.4838181806414,62.5129831738006,37.5224184321109,8.13061707011927,4.85481246339312,11.8574226613195,19.6857326681391,38.8048702868626,0.629206528145152,4.45751775484193,4.26014177289116,167669.439862543,15.7407292381113,0.954986333972786,0.845058019447022,45.2799464205407,25.3262448915255
"ILL_4782_AGL",8.77471579233268,10.6253660110789,12.5233429546642,26.43845722516,10.6917244798822,-5.62917311721164,2.97243312262819,16.0211767382796,15.4507672141132,18.1471471378973,20.9681989882523,41.6216004296351,18.2604764403963,-4.50096266774436,4.43274253416624,0.751678268069137,3.96448569172775,10.4971737027992,16.8788612526951,35.2241262810533,0.320177569279987,4.51064609923216,2.88449718824373,35.0435542870812,38.1018358157432,40.8303522834526,63.3311268904733,37.7261101965143,7.05870650992314,5.00432230152596,10.9931329704316,19.2182362366495,39.0716716202097,0.679822430720013,4.63394130644348,4.39410750944541,179208.150537634,16.3537883833919,0.947727391871746,0.874983941340138,50.6903795843835,30.8134855324164
"ILL_4783_AGL",10.5263372558565,12.1804641324938,14.1769667304152,29.113273680672,12.4707232606613,1.69412061122152,2.78392697256497,31.165821160177,26.7648155998132,28.8797987073563,31.0669075337042,46.9871326843277,28.8168642185301,5.25747009536709,3.73653667284889,0.807523779939267,4.81085482065351,14.2405020832828,28.3008896472319,52.5759748571081,0.298450147948865,6.2907703828429,2.11400536221239,53.6089301595453,55.9052570679397,57.4658422501722,68.3110575715339,55.2525894201063,33.9385775445844,3.26326304265889,11.5930147082855,29.0976525445971,56.6231567362411,0.701549852051135,6.45064263519506,6.14062552082978,352714.137168142,22.0250461916944,0.951357063495841,0.766560130537912,76.0340026204873,43.9932376556077
"ILL_4804_AGL",15.3613431147444,17.3440442521974,19.642488021933,33.4563419422268,17.5902385838699,3.6914139282242,3.33057396152462,12.8761476066834,22.3323966746187,25.1409185616474,28.3201833991818,46.8193783440662,25.4015415315713,4.80216649191631,4.69531390247171,0.834223157794806,3.13143625094698,19.0829683090983,26.954973429765,38.7827462995864,0.442170155810107,4.03661249236121,2.16186947884422,38.344671224919,40.0948370106941,41.6407720636597,58.0658881371806,39.9812058944285,23.334341574341,2.99072103266589,16.7087665075773,24.2166957981448,40.9208339748951,0.557829844189893,4.16127304973883,3.91902447560272,144184.331658291,13.8869468412089,0.940767869152598,0.864162724295875,37.3259273921734,18.8765664468197
"ILL_4875_AGL",8.39438800105071,10.3641488967,12.1062717270709,23.4830995876614,10.0678087511391,-8.54487680088511,3.14800151410166,10.7297144333333,10.9174698886446,15.9248070027456,19.5609177746267,35.424595956049,14.7239772718958,-11.8998720178032,6.79773565305617,0.491904872912675,15.1215145654548,8.01559470984484,5.93803037799361,27.6607649859022,0.224394952018119,3.69164113330171,2.50404528187984,34.8055041348408,41.1987109591587,45.711631044444,66.071705491324,39.3399155551654,-1.7701254437081,9.1047696513826,10.7681953661507,17.5783357442697,43.1437942307287,0.775605047981881,3.8210230299695,3.61438062168721,120274.658914729,18.5651581698831,0.934126528374029,0.801163270901342,36.050054262381,18.3276107504596
"ILL_4956_AGL",7.45687903423627,9.30972451975312,11.6985110928677,27.2410407294727,9.76076843887209,-0.322981064964701,3.18350728920601,16.7875429683032,25.5289877966935,27.614242738968,29.6421264998476,44.1703494636668,27.3695372233361,4.62422665017747,3.88514374681962,0.784830550132713,5.07468271977741,12.0805218451924,26.2540175989418,53.9014549643575,0.337268297487424,4.61699906098543,2.08244301915162,54.2469996309636,56.3695650267298,57.9960205614162,69.4181468958703,55.9293788124385,36.7986313730406,3.13038426325523,8.73408765052242,27.6920812608966,57.0899911377891,0.662731702512576,4.71339269433371,4.52706307520947,188143.321299639,16.4047350008005,0.959601761168072,0.835674991430598,45.1882555652437,23.4659453285637
"ILL_5058_AGL",8.06083959970746,9.878062979931,12.1011292198202,27.622524663172,10.1958002280155,-3.42907929394665,3.0901520159354,25.8092676010714,25.7985745632634,28.8617115834638,31.6786436898679,47.2350337125196,28.4186967300831,-0.185198613950697,5.0384389587576,0.789840966900177,7.87675179919767,10.868981627018,25.0328337294346,46.0370731034031,0.265421320075352,5.71127948738213,2.41113961738839,48.8922404250327,52.2978128295666,54.5236630850854,66.6321457026751,51.1343973525223,15.7462536509775,5.01191286600629,9.817302628088,29.4677267811885,53.1483607394727,0.734578679924648,5.86622698682226,5.56674751398102,289231.178571429,20.224999160897,0.947322409261384,0.823869825481458,67.7429072348666,41.7696999385026
"ILL_5151_AGL",12.928194526265,14.7043470726358,16.5618478430766,28.7517954168246,14.6825344108777,-6.78891428617885,3.06018172090028,13.3084578909388,17.3350276973671,19.8314733854278,22.4822851746609,40.8366499232732,19.8116055960483,-8.58633282245061,4.4932960343199,0.754393569182024,6.78881219482091,11.8884389948616,14.8376108286405,34.7898745283809,0.235004011385807,4.10712961500233,1.99525298632653,38.1970771561673,39.9695765399842,41.7043842227362,62.303799735606,39.6939560537124,0.184452216460914,4.43294205571535,14.3903752726161,19.4216665640161,40.5620333830036,0.764995988614193,4.22774320476935,3.99389756983302,150616.318367347,14.9120683366636,0.944007271959156,0.817502626618968,37.0811498665617,17.9764664837318
"ILL_5209_AGL",14.0078933701873,15.7257537441111,17.6023740430386,29.2741747159958,15.8346195086237,4.7228054847415,2.6830702411537,14.5238868116744,26.4648669538211,29.0445271616222,31.2916552092655,44.995837590044,28.543089767897,5.88990955801594,4.30508807052391,0.820463692869529,4.81239761089164,16.6192226610878,24.3103374992054,54.6061445096318,0.224966636256379,4.29150310472849,2.78916852653488,55.4047255360396,57.2221431942219,58.7343993407411,68.3941408041552,56.8780243096708,42.212993346145,2.78946571553498,15.5043612766235,29.7528700234573,57.6691963362137,0.775033363743621,4.41383948603763,4.17510107465677,162938.325581395,14.8930265068308,0.945246232389333,0.945994828206107,45.3782127300241,27.135954311365
"ILL_5480_AGL",5.51895612445233,7.26367600332911,9.38446315180063,22.4246519104393,7.58331883521019,-2.12774015659063,2.86173996213398,18.8211225022302,27.4418663221679,29.8614169676124,32.1952143627884,46.1394888173266,29.5395343158442,4.68121865804718,4.25577668306709,0.737600191400324,4.78204835143512,9.38026046721618,27.5698763666437,55.3181459439587,0.327550763097968,4.88533803148248,1.96041235485612,55.5661470752949,57.5439857731272,59.1911935221306,69.7922704394337,57.1976582615393,37.8762090131893,2.97176848379151,6.99978757532491,29.4771930065027,58.216738897157,0.672449236902032,5.02725006704983,4.75289782151437,210616.776978417,17.9458180648206,0.944923730139798,0.776445830220011,48.9716293545674,24.6943452929471
"ILL_5639_AGL",11.399008812862,13.2629243315712,15.3854855805799,28.8547629682403,13.4590398054342,2.71750393351881,2.93362301264459,12.7816005053016,28.9987955847488,31.7212637721588,34.3392098260194,48.8339959955037,31.3598763612292,6.15892343294806,4.69683039843191,0.799335223623905,4.60668564259237,13.956296970704,27.621640878385,52.4192465857116,0.272172705782381,4.02340985659155,1.94358050615873,52.9832969042934,54.9403950336024,56.5196014652949,67.0411848354696,54.5442968569465,38.1919674007056,2.94757579772426,13.3652630594641,32.158490557448,55.37882611634,0.727827294217619,4.14507297405834,3.90851380957756,143118.320634921,14.1566607578885,0.942077703213602,0.857643327138421,35.2560731089062,16.7367931685568
"ILL_5722_AGL",10.3613949324802,12.0896972784176,14.0743100244856,28.2427140884475,12.309716955489,1.20029749310128,2.80647463159108,18.6533246957566,16.1881992584458,18.4593935860364,21.1699946249271,39.6742734759623,18.8645387536864,3.01994284161619,3.93158565906597,0.805425342946766,3.9505671196507,13.3822574054946,20.4574397127428,44.0409728133939,0.525203465077914,4.8606284096243,2.39185020521382,43.2888167797835,44.971147377675,46.6461150271841,65.7946467394926,45.0695958714528,30.6601108608536,3.09778605320015,11.94043009279,18.4856660179091,46.565159260669,0.474796534922086,4.98785912925608,4.74161801697735,208909.450657895,17.0256770160848,0.950281271135021,0.831013115893439,52.3726490494385,30.117065809303
"ILL_5883_AGL",16.2600009129544,17.935701272538,19.8932452263968,33.7522386849176,18.1776488536671,5.12078563426511,2.92692365786865,21.5424331400617,25.7405424653247,28.0942013006397,30.5453884859406,47.016637504967,28.0539489183465,5.26156475307489,4.072214629235,0.838756237643829,4.37621212782423,19.1869323605229,27.3640558958906,48.7930732602102,0.316348872100088,5.23052675821549,3.01895253958333,49.476160388325,51.8034987476712,53.562002611591,65.0169146621102,51.2875502270233,33.0497070010283,3.28537955755458,17.7271507031311,28.274432964952,52.5792975494715,0.683651127899912,5.32227942976178,5.14324484635954,240968.691358025,17.9458222817862,0.965823415193563,0.922640500217402,63.6013206977761,43.4720495433588
"ILL_5888_AGL",11.2874165418817,13.1791585229567,15.0200899759433,25.989677708326,13.1212861601077,-0.548547842203453,2.85100694938102,16.8062468393522,21.3712710642706,24.3055912879405,26.8996694768394,41.7456983921617,23.968131151214,1.95495211608407,4.31140654919666,0.764683591701369,4.90271317633881,12.3674334207037,21.409636401777,46.7220497324818,0.346016645140345,4.6068553979332,2.61754211524292,46.8855113020412,49.8561844786876,52.258071844975,65.3140703638921,49.3124175364071,23.3775332901888,4.30685814966926,13.4678392522039,25.1035137447063,50.9317037629222,0.653983354859655,4.76747016367855,4.45836381865305,188157.348178138,16.5785161839686,0.934786206192043,0.876464453482887,49.7852256303052,29.4689353496224
"ILL_5945_AGL",10.383848345209,12.5934052001952,14.8549302413527,28.9877960132819,12.6374324252782,-5.11169244506501,3.52174283591332,14.8441826218327,14.9090236528486,18.3439857690837,21.7222340616188,41.4499495377967,18.2991439108075,-5.94937016349966,5.29743444869405,0.755394304660659,5.43878776544219,11.7690189223767,15.6389705806226,31.6062211729826,0.344935643430065,4.33830417800503,2.30968647396414,31.8203552906459,35.5170878100466,38.5599092452616,62.4855699600232,34.8880723843337,3.03966770186924,5.62428378636148,13.3269387769648,20.0877990726591,36.9511815316643,0.655064356569935,4.48758181821657,4.19690813963669,166214.426294821,15.7110394879826,0.934596146828075,0.831092142158681,43.247297649202,23.1403007658441
"ILL_6002_AGL",12.5992594913886,14.3247638740509,16.2844131460249,30.8483749338326,14.536015519959,3.33400040224525,2.80554758899645,25.2287075825234,28.2953321071045,30.716206897822,33.0973011109653,50.1274089593609,30.5531161508685,5.99799790283631,4.20442138524977,0.816183498981102,5.66258575835156,15.9240622143876,29.1458611653357,50.1195517030199,0.350881381891857,5.65222938085224,2.15286868126168,51.1932179414448,53.9998465059191,55.8014902089174,66.3409678358545,53.2161880620279,34.0747328428162,3.68914500360556,13.6991993298878,31.5426145527597,55.0808277767585,0.649118618108143,5.7915861465274,5.52257330565395,282589.490654206,19.6669689727652,0.952284395262227,0.810503441140012,63.7456057260996,36.4502208541872
"ILL_618_AGL",16.239580663191,18.0522776771228,20.0498448681417,32.8615450313709,18.1936944721293,5.22161763510083,3.07497239633374,9.48399349196721,26.5124442683645,29.2769870167153,32.070133563671,50.139994453363,29.1670577163447,6.10978116477656,4.71197716864847,0.835143409319456,4.2275540741309,18.5554330606948,28.3218701989994,48.5065327545507,0.326963302124262,3.46761408196601,1.9648779194877,48.6340277756617,51.2535683685461,53.3928447109161,65.1180456182178,50.8073751814879,28.2923657082188,3.76443336780392,18.0999913424191,29.6952222121345,52.1365010507374,0.673036697875738,3.60109221385537,3.34306608948639,107333.56147541,11.9214804173498,0.927724102943048,0.925491901176105,27.7560723329376,12.5737226880527
"ILL_6182_AGL",12.9162619043595,14.6647747078245,16.4103289029656,27.2371272542719,14.6104459860422,0.0383718000028699,2.77015123083109,11.3656588471889,19.45697304337,21.8113369257821,24.1071277207479,38.7282639841972,21.6844555970605,2.52149707090681,3.74486343805435,0.793818343362146,4.65256611907165,14.3496784703954,20.7730515272781,42.1320137901342,0.586044699501421,3.79128998285031,1.67606707589862,41.9274029189534,44.0473100254418,46.1858583474542,64.011029725824,44.0498394086754,25.7661088779499,3.70159306347966,13.681746756649,20.6349650881979,46.2665531572778,0.413955300498579,3.88748895514321,3.70228728492314,128629.004608295,13.3860881516668,0.951303886373519,0.787545775397454,30.6091604948051,12.9174085153941
"ILL_6211_AGL",9.34927719193122,10.9693869291962,12.866280595582,26.2718963458515,11.2204560134909,1.37569577763619,2.68611220656158,22.3510118908594,26.3419072583034,28.560946349335,30.6703559410218,44.7481887558789,28.3032226265934,5.39212998724912,3.77862822055564,0.790707874640131,4.52166202483678,12.6001850938924,26.7646695431183,53.0627507819341,0.345813071621026,5.31799373421804,2.4242770596875,53.5156942852401,55.6178468719209,57.1952835897415,67.4349405791005,55.1797403430502,40.4180618773033,2.93828465385263,10.6560327931802,28.543611848138,56.3575852401842,0.654186928378974,5.45392430812696,5.19058359477441,250133.82421875,18.8214049705563,0.951127105738618,0.853812462503182,60.115307271593,36.385441281668
"ILL_624_AGL",7.19723908458643,8.63075815207969,10.2567840583369,22.8903747297375,8.82657286113205,-1.71335712807973,2.39435975621005,12.8942216049536,18.7683798318407,20.6506453332672,22.6020593389107,36.9172405892291,20.6361168792559,3.20609606511076,3.21920989859165,0.760955284917166,4.58426666352077,8.79639942842139,20.650574576538,49.0251419435764,0.703281827641991,4.04133104202183,2.0496398222291,48.3656204085118,50.0308805779222,51.7739415560644,68.8246239942236,50.1686879086955,30.9234624886746,3.28777769490538,9.30701728584462,19.3918814522187,52.9315501880037,0.296718172358009,4.13670047286994,3.95239703064818,144366.034055728,14.5703476265321,0.954592984119853,0.813497902236088,36.8974460898408,17.7618883947277
"ILL_6821_AGL",19.517129384852,21.4837057082969,23.5476309074214,35.9872861652943,21.5052995809174,5.44798611235429,3.24473627441257,14.370455001378,24.4357723946539,27.4372370865431,30.5531403995313,48.7551127767081,27.4478727275058,4.38269046933873,4.87129178079919,0.837128585993431,3.08868947214114,21.5984284307964,26.5335337099975,38.1393683692266,0.302740944278473,4.26988303412295,2.47762514080709,37.9180391632745,40.0273278637967,41.8436438297869,56.9520862594676,39.7563375691246,23.613122792593,3.2701575394056,21.2435951752158,27.4822817343509,40.6412515080463,0.697259055721527,4.35963692954351,4.18402408338676,160970.078740157,14.6703095567668,0.959039625589482,0.889609065278822,42.9300554966616,23.8072098067902
"ILL_6853_AGL",13.8180879520183,15.8374794988954,18.101166250523,31.3462068996281,16.0079036784066,3.56860690626717,3.09127107813305,29.0883375505263,27.2724595438743,29.6339733029211,32.076734192612,49.1847060820161,29.5572130038406,5.78903322318866,4.08807665902291,0.833997578735598,5.51123026362562,17.1460035392901,28.3846641719709,50.4902493870399,0.337621101672331,6.06941517764353,2.58762809463158,51.6946012084761,54.5355296686549,56.2668228691229,67.0257649714599,53.6300357610993,32.3944303225197,3.75797247623303,15.3298885486465,30.2150346736935,55.4878807864162,0.662378898327669,6.18140500114648,5.96367403241277,329202.552631579,20.8857665344422,0.963925835907682,0.862672352941514,75.9020019036903,50.8111544652971
"ILL_7089_AGL",10.1491028736753,12.0601628541428,14.2298447074976,29.0501956317699,12.3012255501593,1.1144799180648,3.01695122611994,17.524013099542,26.4332304532916,28.9164533658409,31.4236829828376,48.3498708104802,28.7770490365455,4.69888595575823,4.31266642679585,0.808669372725709,4.58215688861806,13.7264062495166,27.4876785605296,48.9279313681934,0.3192771017478,4.71482762706982,2.11049071347328,49.2763440795871,51.6737655308466,53.4480356248236,65.5676508654161,51.1322708808709,26.4064973594382,3.45831391357417,11.42161327106,29.1450274836175,52.3980173035844,0.6807228982522,4.88065083195804,4.55788433746759,196149.446564885,16.4760402648211,0.933330093543087,0.837967719454963,47.0064678166409,24.8593315338866
"ILL_7558_AGL",9.49431763287383,11.0092469163451,12.7671568881889,25.9665006240706,11.2196008906142,1.54468285832709,2.47250480299521,26.0572733539773,25.8786271475821,28.2053555127161,30.4060932345874,45.2866240283166,27.9782463363805,4.88697813737051,3.86268420148112,0.792940160809635,5.11026517544153,12.7073579417449,26.1075587845956,52.1809677492871,0.308532567012459,5.74117739203389,2.51334144335227,53.1491615078161,55.5403367911575,57.1466544343691,66.6234601952706,54.912443608622,37.6882427101737,3.16770684284047,10.4702845012556,28.915402322079,56.3879409801645,0.691467432987541,5.89153753481429,5.59996462989891,291861.920454545,20.2676505205472,0.9500907961416,0.838423346077553,68.8694261078595,42.721640582743
