"Name","a.25_Mo17","a.50_Mo17","a.75_Mo17","a.max_Mo17","a.mean_Mo17","a.min_Mo17","a.std_Mo17","area.mm.2._Mo17","b.25_Mo17","b.50_Mo17","b.75_Mo17","b.max_Mo17","b.mean_Mo17","b.min_Mo17","b.std_Mo17","circularity.4.pi.area..perimeter.2.._Mo17","cluster.distance_Mo17","dark.cluster.a_Mo17","dark.cluster.b_Mo17","dark.cluster.l_Mo17","dark.cluster.proportion_Mo17","equivalent.diameter.mm._Mo17","height.mm._Mo17","l.25_Mo17","l.50_Mo17","l.75_Mo17","l.max_Mo17","l.mean_Mo17","l.min_Mo17","l.std_Mo17","light.cluster.a_Mo17","light.cluster.b_Mo17","light.cluster.l_Mo17","light.cluster.proportion_Mo17","major.axis.length.mm._Mo17","minor.axis.length.mm._Mo17","num.pixels.per.component_Mo17","perimeter.mm._Mo17","roundness.4.area..pi.major.axis.2._Mo17","sphericity.pi..1.3...6.volume...2.3....surface.area._Mo17","surface.area.mm.2._Mo17","volume.mm.3._Mo17"
"CDC_Robin_AGL",14.1682904334145,15.9714722960869,17.8847950431325,32.2583258114025,16.0599393628118,3.19648603968893,2.84706060861516,11.5430449817391,20.9364231800267,23.2937533392678,25.7706716047869,42.4920358727811,23.3398962721789,3.5772678363531,3.88325163714154,0.842059027334264,3.59960564373741,16.226173755562,23.2720132419675,42.7005501739507,0.700186050064845,3.81903854005411,1.83552808998913,41.8020996738743,43.3732255371744,44.8130802550658,64.0927074578573,43.3803388865836,25.9853607541165,3.01725551795806,15.4052216150316,21.8979394576958,45.7020853049018,0.299813949935155,3.94272568097675,3.70459002893579,130636.543478261,13.0808562960356,0.938738804951637,0.891718210556594,31.4913415768355,14.3280416053338
"CDC_Rosebud_AGL",21.4262132319742,23.7099914772068,26.0644822255754,37.8163219894925,23.6545416099181,6.73830837744187,3.60020071054735,13.1409587611852,30.4607548065137,33.1560101635489,35.7799851454593,51.6931953700076,32.8631036466168,6.6336782651858,4.62785493388143,0.850808612166257,4.52996587876646,23.226573848715,30.8960115691242,40.8266440575572,0.341829578501672,4.04580647301605,1.91335885583333,41.0493153607168,43.6247726089943,45.7500621551648,57.7552446477571,43.19951961133,22.5164824728844,3.66661123339081,22.9964008353166,32.9094065781301,44.6193230232635,0.658170421498328,4.15551221834402,3.94793078909368,148720.674074074,13.7825508924181,0.948489625885278,0.893364555144494,35.4863866024033,17.1722566028828
"CDC_Rosetown_AGL",11.8456542755522,13.3776715870084,15.0642453093808,31.2137141881284,13.5513402965438,2.08780842335427,2.63999997559806,14.2485118553947,19.7296821922082,21.9187417516521,24.2962099443613,42.3357434942574,22.0588858438561,3.58809986360754,3.75013960954781,0.820139003670417,2.84846687806755,14.4360769569202,22.4662607419048,41.9967956586308,0.457121961539351,4.2496832487474,2.13141617225329,41.737849877871,43.3308025972167,44.7062742408706,62.0563507160267,43.1593213785264,22.7614574997206,2.99906447412481,13.4356658292802,21.8589835722045,44.1995563636307,0.542878038460649,4.35988769053579,4.14891996653723,161255.226973684,14.7444141980085,0.950248031938566,0.877520998243089,39.8058170836492,20.4542232393732
"CDC_Rosie_AGL",12.1340254333603,13.6489729386494,15.3206527325861,30.2441015332317,13.8124462603904,2.45430176911975,2.58660917906637,14.9123218415625,19.5202354242967,21.6591224800521,23.9603183978507,41.8697192186074,21.7799664650401,3.90720898928256,3.6456687857877,0.821160085893827,2.7573643372826,14.3606642502994,22.2033406371571,43.5470854185384,0.637025676469229,4.34561424447849,2.02914183839844,42.7257094800837,44.0382178816093,45.2680928186824,63.0007512946895,44.0584665118967,28.1974085904687,2.5903012269855,13.8086648236049,21.3705647248681,45.5065273712033,0.362974323530771,4.45644395505982,4.24372019141112,168767.7890625,15.068264706385,0.951889176052397,0.871440470995933,40.3304597728605,20.266761060561
"CDC_Rouleau_AGL",16.8534843897604,18.8347030791186,20.8746812992517,33.225153482933,18.8329518781264,4.54617008061892,3.11013606413423,15.3786879275294,22.0595698958235,24.5485108455525,27.2649011578158,44.2230517679981,24.6845703467118,4.98421299602059,4.0956956423637,0.843473039319727,3.15340182192466,19.3646735233911,25.2510135874026,43.8680167776657,0.527217179967446,4.39930220173291,2.05202361705882,43.2088212602725,44.8626875558162,46.3498910356125,62.3074980581757,44.7825711715533,29.5443429199364,2.83091142874011,17.7164658386356,23.5990778685405,46.0764376009395,0.472782820032554,4.51207491526603,4.29364160719765,174045.811764706,15.049520713088,0.95030634906835,0.883822720184845,41.4361261413738,21.3889261805343
"CDC_Royale_AGL",-0.747367773100333,1.63018059064317,4.55757339732501,20.2416654484036,2.0838972459348,-12.2166220815243,3.97211605574743,16.548292745,17.8614472792998,21.3376260282062,24.2801141576335,40.6034633657009,20.5495664484728,-9.60234305049967,5.77798767638029,0.637315998815377,11.5657647831624,2.60841630785615,13.3181994126826,31.2050796123616,0.212330381568957,4.57036857934379,1.36204457350962,37.5832901237878,41.549126008389,44.6383647555701,67.0534913535514,40.3118324184844,2.38410888858779,7.03670018068556,1.90363951889034,21.9145217708692,42.4529591326576,0.787669618431043,4.67967580000751,4.46864695064673,187282.625,18.2057656971485,0.953677574870041,0.692383636330635,39.5140825711949,15.2938760787288
"CDC_Ruby_AGL",10.4879140674516,12.0432470115704,13.7691890366008,28.0576192986005,12.2166461896073,1.4777652703792,2.60085674740243,12.8435931736486,17.4333655765955,19.4436534107431,21.602161289385,37.5370659857835,19.5530080904092,3.52704374103673,3.34899317867278,0.808033804034138,4.19270215595284,12.8659560936275,20.0318281042619,44.5363376862497,0.691189411869262,4.03318249370143,2.11364456574324,44.0152119812001,45.5317208032667,47.0142919697121,65.0454476784429,45.5977831509287,29.2881878456361,3.04099203027232,11.8744849533645,18.7120280275394,48.1195544017208,0.308810588130738,4.13358169255472,3.93976179823015,145355.287162162,14.0995269491832,0.952191543025079,0.880419507642643,36.5223059449433,18.2051573973874
"CDC_SB.1_AGL",11.4726736811938,13.3877775715553,15.4715738936614,29.0622205328764,13.5365963511326,0.772243630102947,3.04726959290929,12.7244940710938,19.5927739864432,22.3645550706575,25.0728672223237,41.6473994204034,22.2575305573511,2.287568065712,4.29598532913701,0.803718065350339,3.96735606067943,13.9013676878345,21.1849436460926,40.966511427643,0.43957332319307,4.00309695060545,2.28568425052734,40.4438817737694,42.7275233886198,44.7226673104799,62.8948948517886,42.511033426151,22.8180760437738,3.68736005224066,13.1286010707617,21.8975951884205,43.7828548923358,0.56042667680693,4.10306192859804,3.90928553505212,144007.40234375,14.0355851052878,0.952301212522496,0.912276285962523,37.4645036619834,19.8258675358209
"CDC_Sedley_AGL",15.2838252339382,17.3687080420104,19.6492707542019,33.9576827649776,17.5153847063299,4.34813006164814,3.29096666818995,20.3841978614414,29.6623220932849,32.2276811628838,34.6836152622409,51.1124998113464,31.9560469139347,5.93878890660212,4.4168538265326,0.839716935432487,5.06207910919224,18.3838235147511,30.2160172631314,47.2426667546036,0.328723990412369,5.02867604643124,2.12549160013514,47.6919876569647,50.2813775901738,52.291502683617,63.9113417471793,49.7852488000387,30.925443307847,3.57154369783315,16.8842210034494,32.4174955024914,51.2952956368567,0.67127600958763,5.14701309139603,4.91874110109846,230694.86036036,17.2337918842936,0.95333962575278,0.855259938720907,52.8495782657913,29.420328663653
"CN_105604_AGL",4.42290118089133,6.53325343814483,8.63318889573962,21.1597119117587,6.52194770572443,-8.21445525987516,3.19951899821084,10.9010058470683,4.93359895909358,7.50688387253249,10.1533687928519,27.3748546028341,7.59990677548926,-9.29581867302087,3.9605285450189,0.481782521907141,7.66360128164123,6.53317181900031,7.13611394717383,27.4299626041329,0.735591058667115,3.71570289624629,0.179015163614458,25.476915271624,28.2820403992986,30.866595002252,67.3022188244144,28.4401444100709,10.4870721852062,5.1837260811348,5.44221011189581,9.14521998040387,35.0438054152633,0.264408941332885,3.84681828346109,3.60081796163673,123370.369477912,17.7465710647456,0.934362653197068,0.18117625403351,22.4244533861448,1.28070017789772
