"Name","a.25_Su18","a.50_Su18","a.75_Su18","a.max_Su18","a.mean_Su18","a.min_Su18","a.std_Su18","area.mm.2._Su18","b.25_Su18","b.50_Su18","b.75_Su18","b.max_Su18","b.mean_Su18","b.min_Su18","b.std_Su18","circularity.4.pi.area..perimeter.2.._Su18","cluster.distance_Su18","dark.cluster.a_Su18","dark.cluster.b_Su18","dark.cluster.l_Su18","dark.cluster.proportion_Su18","equivalent.diameter.mm._Su18","height.mm._Su18","l.25_Su18","l.50_Su18","l.75_Su18","l.max_Su18","l.mean_Su18","l.min_Su18","l.std_Su18","light.cluster.a_Su18","light.cluster.b_Su18","light.cluster.l_Su18","light.cluster.proportion_Su18","major.axis.length.mm._Su18","minor.axis.length.mm._Su18","num.pixels.per.component_Su18","perimeter.mm._Su18","roundness.4.area..pi.major.axis.2._Su18","sphericity.pi..1.3...6.volume...2.3....surface.area._Su18","surface.area.mm.2._Su18","volume.mm.3._Su18"
"PI_298631_LSP_AGL",9.11859828449223,10.8261296919689,13.0116755582539,30.0543789769948,11.194299067342,0.688815330699482,2.89871314428497,27.5885965597927,27.4473291457513,29.7314636593782,32.1039779812953,49.653238230829,29.7413424124352,4.49677221410881,3.86864351034715,0.819532122,5.88233367418653,13.2651307154456,29.7174354448705,47.2820224804145,0.341020147487047,5.91869285297409,2.48779837919689,48.6660381661658,51.2893764968912,53.0637475416062,63.2689962176684,50.4743309991192,28.083078064715,3.75490501307254,10.0849236717461,29.8717835523834,52.2805470370984,0.658979852512953,6.09552473537306,5.75487816795855,312229.476683938,20.5473424698964,0.943428382523316,0.851359774290155,71.7402435427979,45.8154496733161
"PI_298644_LSP_AGL",7.41187499694924,9.02208297869543,11.1522024235939,30.6257059042132,9.49991768230457,-0.744677274827411,2.99246371711168,27.823906906599,27.5551238019797,29.5999031664975,31.7117599263452,48.8949283465482,29.5687308115736,3.87703327969036,3.59951156394416,0.823717086954315,5.62553341622843,12.1272764480102,29.2600443147716,49.2255036443655,0.27988868735533,5.94024154009137,2.72862579616751,50.804596954264,53.1681561074112,54.7143883035533,64.751315602132,52.3862547045178,27.0801636412893,3.43141345483756,8.27716930119289,29.6544947631472,53.8562356125381,0.72011131264467,6.11487567505076,5.77933909872589,314892.563451777,20.5635536506091,0.943760893375635,0.876526476162437,74.6626361951777,50.9012822020812
"PI_298645_AGL",10.0312960083176,11.715519688702,13.7282455755608,31.6328870296863,12.0032127295255,1.14561906603137,2.81114513819216,28.8469058324706,27.2613824974118,29.4550943998431,31.5775678951373,47.3306294274902,29.2400342628627,5.49893843412549,3.77547733488627,0.817426149152941,5.50383802126275,13.7203578160078,27.3134546595686,53.5228655143922,0.257470538666667,6.05454240396078,2.85059298441176,55.6182337597255,57.8578037807451,59.3218759596471,68.3848261441569,56.9939213396863,27.2841043939922,3.57516209041961,11.3294294437333,29.9588878274118,58.4266378396078,0.742529461333333,6.3013456756,5.82611751834902,326470.188235294,21.0490668457647,0.923616251243137,0.878417759188235,78.2590882680784,55.0468202640392
"PI_298921_AGL",8.30391439133333,9.79745421731771,11.623395250401,28.0467970597917,10.1204934355833,0.0755955748854167,2.63773813972917,32.30515877625,25.3316528573438,27.5871970723958,29.7246608582813,46.1525382802083,27.3825135027604,4.19435543040625,3.74527881194792,0.798890849640625,5.25774143678125,11.9193738260833,25.6369590426042,53.3143585979687,0.291135601109375,6.39359246901563,3.40435907148438,54.7427315019271,57.0705008128125,58.61298075,68.81825106625,56.3143000815625,28.3180620354583,3.43989670879167,9.33081066475521,28.0874522623958,57.7481714656771,0.708864398890625,6.615310734,6.19035564104688,365608.40625,22.4806467526042,0.9342831659375,0.906211106661458,92.0008667469792,73.7360123438385
"PI_298922_LSP_AGL",9.09257070011151,10.5845832442806,12.2259816303273,24.1680285066187,10.7211839646007,0.0601366104028777,2.40356961686331,15.5993169132374,18.5616939785971,20.4414918529496,22.4121334242806,37.6835686628777,20.4843973815468,3.50274988104676,3.16773015826619,0.779368490330935,3.69378187523381,11.0536139401978,20.6386128814748,50.5952526069424,0.636129234748201,4.44887476372302,2.63973285706835,50.0317447038489,51.5385406089568,53.0397578771223,68.6758236005396,51.5490686453237,31.3609611297518,2.97889500734532,10.3979041151079,19.3777039740288,53.5636762338849,0.363870765251799,4.60769873792086,4.3020801161223,176542.744604317,15.8517021670504,0.932695398133094,0.905612081579137,47.0162057897834,27.674492100187
"PI_298923_LSP_AGL",6.93416027374786,8.66470471723077,10.9584087178632,28.945088537906,9.13163475123504,-1.13331303859829,3.07123309938034,25.8841935042735,27.0627478980342,29.1490542221795,31.4288494257692,49.7869587229487,29.2132117638462,3.09139792403419,3.73088437735043,0.812438624111111,5.62541516211538,11.6914033813419,29.2389356435043,50.2793266254701,0.321820592641026,5.73152386990598,2.77744586333333,51.7220072695727,54.029113027265,55.5290893502564,65.6559210017949,53.2342225908974,31.2847609629915,3.44591559730769,7.84284025111966,29.2663133389316,54.7581827630342,0.678179407358974,5.8844713386453,5.59047783890171,292940.170940171,19.9897490232051,0.948582345029915,0.890402489794872,70.8900480292308,48.2341065655556
"PI_299116_LSP_AGL",0.866690240204082,2.5653946596898,4.26468304523674,16.4348522784653,2.58371682484082,-11.1103027771673,2.65937285386939,17.1381710764082,15.6449541628163,19.1876746257551,22.5817120366122,40.1350579475102,18.8692019137551,-10.2235996423265,5.55084811120816,0.514557029126531,6.70976859089796,2.07189296469796,16.7937816883633,40.5777612209796,0.572839190787755,4.66373685757959,1.3829863744898,39.3861944423265,43.2930164488571,48.1434034315102,70.0427910642041,43.6093509343265,6.96397580416735,7.04001029149388,3.36512590276735,20.3502098830612,46.8645334853878,0.427160809212245,4.8426483719102,4.50328620088163,193958.47755102,20.6570044676327,0.929666197326531,0.722613714404082,40.689546233102,15.9926798272041
"PI_299120_LSP_AGL",4.91508484516479,6.44267060238202,8.2958948558015,24.0168468081573,6.76273727142322,-2.50023553790637,2.67024748819476,18.8605945616479,27.080277235206,29.5096387749064,31.8751648671536,48.0767207117978,29.2864122050936,4.43644041985019,4.17407507785019,0.741666844052434,4.48108705579775,8.37971415986891,27.6509684685019,53.4972629530712,0.336395704453184,4.89158694449813,2.80319191601124,53.7472177495131,55.6464410107491,57.1376630811985,69.422369125618,55.2774495214232,36.2943599510899,2.98342540825843,6.45459523747191,29.1124574619476,56.3392405082397,0.663604295546816,5.05355585838202,4.74786272554682,213451.72659176,17.921053709176,0.937531618659176,0.88639001393633,56.0729849572285,35.6527094747416
"PI_299121_LSP_AGL",6.08848773665455,7.61242583044727,9.45996851830909,26.3926648386727,7.94141897270182,-1.57687010353818,2.69911503188727,21.5991885313455,27.0168579362545,29.3236116115273,31.5386498118182,46.5877305541091,29.0889988674545,5.04615712046545,3.92112549752,0.774564672723636,5.31579573572727,9.67478931096364,27.2203407514909,52.6530753184364,0.304160766276364,5.23202429326182,2.56571691352727,53.6485323217455,56.0993693223273,57.8877823442545,69.1069526958909,55.4780311790182,34.4120598071418,3.55496709570182,7.33836962108364,29.5999274462909,56.9323999219636,0.695839233723636,5.38839944717455,5.08994315548,241952.36,18.7070776990182,0.943641934047273,0.859413938905455,59.9201573682182,37.02175424576
"PI_299126_LSP_AGL",9.57396282448846,11.1706951089192,12.9732542987462,28.0564367577231,11.3800205521462,0.954967402553846,2.67271214163846,19.3028666372308,25.3497398085769,27.5770393714231,29.7231928313846,44.5679157771538,27.3879558150769,5.36462935382308,3.71134652623846,0.786915969634615,3.95148178120385,11.8865304241846,25.4894096263077,54.3836208376923,0.308324949361538,4.95008550699615,2.82515761315385,54.8920264767308,56.6315103325769,58.0269523058846,68.9188198258462,56.2847370601154,35.0893869522692,2.82131083433077,11.3976830734923,27.6776464408846,57.2273014124231,0.691675050638462,5.07135354135385,4.83882223879615,218457.069230769,17.5778735116538,0.953217240365385,0.909302927796154,56.8561575471923,36.5167955973962
