"Name","a.25_It17","a.50_It17","a.75_It17","a.max_It17","a.mean_It17","a.min_It17","a.std_It17","area.mm.2._It17","b.25_It17","b.50_It17","b.75_It17","b.max_It17","b.mean_It17","b.min_It17","b.std_It17","circularity.4.pi.area..perimeter.2.._It17","cluster.distance_It17","dark.cluster.a_It17","dark.cluster.b_It17","dark.cluster.l_It17","dark.cluster.proportion_It17","equivalent.diameter.mm._It17","height.mm._It17","l.25_It17","l.50_It17","l.75_It17","l.max_It17","l.mean_It17","l.min_It17","l.std_It17","light.cluster.a_It17","light.cluster.b_It17","light.cluster.l_It17","light.cluster.proportion_It17","major.axis.length.mm._It17","minor.axis.length.mm._It17","num.pixels.per.component_It17","perimeter.mm._It17","roundness.4.area..pi.major.axis.2._It17","sphericity.pi..1.3...6.volume...2.3....surface.area._It17","surface.area.mm.2._It17","volume.mm.3._It17"
"ILL_4768_AGL",9.56852337081511,11.6959892197679,14.0760450609487,30.2747186208305,11.9222210863949,-4.91316188842518,3.52625566748014,14.3514662542951,14.7604542538544,17.6280636148437,20.6626411944106,40.929759280784,17.762900896871,-4.86197632098477,4.66809465578907,0.758839055690557,4.30270534915673,12.6590860433217,17.2781833649393,33.7889152008996,0.341061172712403,4.25347919593962,2.01690118406557,33.7764340270074,36.662147140892,39.0672236114086,61.9850975943071,36.2106352514926,7.2157095311914,4.75307004561496,11.7025949095037,18.0884478756166,37.4770896948867,0.658938827287597,4.4240039518136,4.09511432820282,162420.396721311,15.3790737772627,0.924768802385805,0.796392258803869,40.0761367095196,20.182417311651
"ILL_4782_AGL",8.44460030504488,10.3231760248432,12.3184264686344,27.4893119656379,10.4505592316069,-5.87640204505314,3.10938771048979,14.9077705474587,13.9147336116086,16.5844360498615,19.3230921939559,39.5583144932151,16.6606026421149,-5.22175566310367,4.35503823174821,0.734828759249391,3.64646709684979,10.4999689225024,15.8805194112701,36.7049975152248,0.451943071769693,4.34283915762879,2.07455522014851,35.926723450691,38.5737765979089,40.8833437938331,64.5530738866316,38.2877916761165,10.7589841795638,4.5087521944739,10.7683815248953,17.4028604223088,39.7170621927713,0.548056928230307,4.50957273649486,4.1877490221255,168716.280528053,16.0132825233718,0.927765883148194,0.832708302407549,41.1948692352406,21.1314578019201
"ILL_4783_AGL",13.6091687203995,15.4227376806377,17.4924808817472,33.1346144063236,15.651272327262,3.28821958266492,3.0210234831432,27.0327361306273,27.1799921057173,29.4879644901563,31.9161858078339,49.2877251388262,29.4579740596585,5.29877481168366,4.06574974456099,0.829711897770109,5.49693039762233,16.9479908182199,28.9929855947722,49.6260935695041,0.31054215921329,5.83881619432265,2.24241764274908,51.1247000511142,53.8890120854004,55.7110955772087,66.1309387190969,53.0443715932056,29.4378175888286,3.87528436275477,14.9648608654158,29.6781803437278,54.7557589187617,0.68945784078671,6.03031408579203,5.66423331040558,305938.616236162,20.1446640607902,0.937667671952273,0.822654032473158,68.2812554764422,40.7007754156502
"ILL_4804_AGL",12.6682231146044,14.6019250952409,16.8368499500353,31.8550076690555,14.8632259523396,2.8756830709166,3.19406409797251,12.9766763314741,20.7762135940628,23.4305553640257,26.4398617348511,45.9860538780883,23.6947907817205,4.24927891964057,4.49304951129587,0.815907468407211,3.48190527492992,16.1845034192995,24.888078569189,41.0113606774659,0.480361900186575,4.04358324625611,2.29424083093625,40.6995387361916,42.5108413313295,44.0305964386021,61.402395201326,42.3172148613221,22.6211275917993,3.23749680679289,14.0750232665413,22.5628056866749,43.5207452516641,0.519638099813425,4.18838198392337,3.91096019960971,146861.434262948,14.0638201398274,0.931619719781557,0.918637853843594,38.0219003459892,20.2159075191261
"ILL_4875_AGL",10.2993975222923,12.4574376130515,14.4599905726947,27.2864093129877,12.2302148847574,-6.58317484851428,3.43313624999443,11.3701821655491,11.8443977717767,16.6420935541029,20.2418150846848,36.4251407734854,15.5911103592968,-10.7423252011744,6.59452244872168,0.539467117523188,13.7666941082138,10.2605359953338,7.35427655173454,28.6108858160511,0.236218998442407,3.7954299246196,1.83317723562139,34.9755844476119,40.5245847298277,44.5022496744109,65.3260477845149,38.9653591257828,1.74517806288438,8.21367159147442,12.9417058731803,18.3185452828988,42.3928399144682,0.763781001557593,3.97459407245563,3.66267742298957,128680.196531792,18.0986344033463,0.91339455877389,0.819865694641643,32.176852084893,14.1734131379657
"ILL_4956_AGL",8.71745865200173,10.6037033058361,12.9927573752525,30.0890031029201,11.0386321285576,0.765281134348546,3.23155376258451,18.1826487705611,26.3614988646264,28.5896466372347,30.7755710461183,46.2381357907744,28.371446683873,5.00282311134732,3.94891056399154,0.812849116459633,5.14465513275637,13.3765016511048,27.4651784910733,51.0594013928498,0.336302330518235,4.79392972360388,2.40594270158416,51.6980301235015,53.8499467580996,55.3538907000177,66.993208064326,53.288058372414,32.7393106281268,3.22142299087429,9.83137964857206,28.3497066218088,54.5526553766136,0.663697669481765,4.94428870838294,4.65535444548215,205779.184818482,16.7168912012247,0.940238245596656,0.891330703255521,50.588310509152,29.4776840878719
"ILL_5058_AGL",9.21463213853881,11.1264191193773,13.4430393803895,30.0773653681898,11.4993759688546,-2.72271176340866,3.35024004808741,28.2530199407692,24.4089440574457,27.2702740435382,30.0560139977828,47.3461039100087,27.0348507225405,-0.188789332850151,4.77711980143229,0.800031401766271,8.22119165839678,12.8837154195938,25.5572727193832,45.1317482306941,0.299375512749472,5.97546811158537,2.65869707209615,47.6941171029437,51.5381044633499,54.0568549694217,66.1017582284891,50.2774418294422,14.7976251830108,5.42800168278047,10.7433073414909,27.5779167644184,52.8668804842293,0.700624487250528,6.13620248201314,5.8263816381228,319748.980769231,21.047215474506,0.947983095068386,0.862297800589201,75.0606724049498,50.7210598373581
"ILL_5151_AGL",11.8795522720468,13.6148225352998,15.4648521617209,28.5801194602437,13.6634870022219,-6.47082228388791,2.99132387943709,14.2097287441916,17.2541617028932,19.6447398116002,22.1833525689408,40.3039103690323,19.644252688153,-7.55973740502316,4.29630565795048,0.759901400248694,6.12206423729531,12.3838147787378,16.3802289876512,37.3640922005434,0.232601722913174,4.23639766521833,2.56795820034431,40.4835902203597,42.3146369318193,43.9919179830756,63.6515833578663,41.953516029696,4.36297304498713,4.3920106499155,13.4759172107103,19.5144528322156,42.8983266761498,0.767398277086826,4.38981698145699,4.09385608041159,160816.305389222,15.304509300395,0.931249386826993,0.922906506389634,43.2297355921511,24.8691594252292
"ILL_5209_AGL",12.322024403233,13.8679482516739,15.5472509312206,27.7876130426298,13.9871476098694,3.46075539149605,2.50742819845264,14.4635559929771,24.6188057916135,27.310060245787,29.730971693103,44.9016691723059,26.9165945726781,4.89570178385527,4.37078594916984,0.812845504754028,5.11120735770905,14.6336913723121,23.2230893212937,51.9794355845547,0.24990593562993,4.27678261845369,2.78865176061069,53.0431606115409,55.0546885252807,56.5472229412084,67.0650109127516,54.5485239491826,37.0063747259449,3.10976538807836,13.7254804047044,27.754107902632,55.587075277198,0.75009406437007,4.44265227259308,4.12246876132908,163688.954198473,14.9108245017337,0.927057323211331,0.950174301989961,45.2923672305214,27.3232587986263
"ILL_5480_AGL",8.94317685723806,10.7704629302587,12.8564257289726,27.9005271194893,11.0281731192662,0.322593047369587,2.98222893652039,18.4413437504839,25.1719149053384,27.4694640106911,29.6354619317786,44.9861838218881,27.1776783686029,4.38817696187469,3.94855627741291,0.788845791286477,6.32619308875833,12.5708115125794,24.8976223108268,49.4794569715423,0.269000375844862,4.82525410116452,2.30839103673387,51.7525481525916,54.3150704857314,55.9523714137703,66.7776211214665,53.4006966762643,27.1722187302851,3.90690968952394,10.4552176164625,27.9310735027346,54.9117514062658,0.730999624155138,4.99723897348926,4.66913300376296,208706.923387097,17.0961385463999,0.932927729335477,0.873780944094978,50.5012106292863,29.0257718087189
